"numero de elemento","elemento"
"0","532"
"1","789"
"2","1432"
"3","1548"
"4","344"
"5","1004"
"6","1978"
"7","349"
"8","1008"
"9","85"
"10","408"
"11","1900"
"12","417"
"13","970"
"14","1864"
"15","1121"
"16","863"
"17","222"
"18","1626"
"19","1842"
"20","1643"
"21","1850"
"22","1512"
"23","534"
"24","149"
"25","99"
"26","1436"
"27","1144"
"28","578"
"29","244"
"30","508"
"31","388"
"32","1320"
"33","301"
"34","225"
"35","209"
"36","1975"
"37","456"
"38","1654"
"39","587"
"40","514"
"41","1235"
"42","1563"
"43","924"
"44","1691"
"45","687"
"46","1528"
"47","1302"
"48","156"
"49","1716"
"50","175"
"51","415"
"52","1505"
"53","287"
"54","794"
"55","554"
"56","468"
"57","953"
"58","1620"
"59","94"
"60","240"
"61","37"
"62","1892"
"63","773"
"64","1079"
"65","1253"
"66","1299"
"67","1299"
"68","335"
"69","682"
"70","511"
"71","1457"
"72","183"
"73","934"
"74","1656"
"75","501"
"76","1687"
"77","1471"
"78","711"
"79","1616"
"80","1941"
"81","83"
"82","527"
"83","419"
"84","1476"
"85","355"
"86","1563"
"87","335"
"88","1015"
"89","237"
"90","1287"
"91","1784"
"92","1716"
"93","1466"
"94","1883"
"95","69"
"96","499"
"97","1808"
"98","1010"
"99","1702"
"100","261"
"101","773"
"102","1289"
"103","194"
"104","1458"
"105","1905"
"106","402"
"107","1212"
"108","538"
"109","830"
"110","1864"
"111","1074"
"112","1517"
"113","943"
"114","237"
"115","1010"
"116","1847"
"117","1530"
"118","1984"
"119","1081"
"120","323"
"121","1331"
"122","1770"
"123","938"
"124","560"
"125","231"
"126","1623"
"127","1175"
"128","961"
"129","1058"
"130","1937"
"131","1822"
"132","269"
"133","1853"
"134","1976"
"135","499"
"136","1319"
"137","1367"
"138","1327"
"139","6"
"140","1369"
"141","975"
"142","976"
"143","1457"
"144","1593"
"145","1083"
"146","1807"
"147","1569"
"148","1614"
"149","1576"
"150","219"
"151","270"
"152","315"
"153","527"
"154","241"
"155","24"
"156","1833"
"157","432"
"158","1723"
"159","704"
"160","1700"
"161","1182"
"162","1798"
"163","192"
"164","892"
"165","1895"
"166","1553"
"167","712"
"168","683"
"169","1694"
"170","1745"
"171","1558"
"172","1670"
"173","710"
"174","1009"
"175","1233"
"176","1517"
"177","509"
"178","487"
"179","226"
"180","1756"
"181","1426"
"182","1202"
"183","944"
"184","1156"
"185","1973"
"186","671"
"187","183"
"188","916"
"189","810"
"190","1515"
"191","1779"
"192","1744"
"193","1850"
"194","1123"
"195","1087"
"196","692"
"197","406"
"198","759"
"199","580"
"200","562"
"201","808"
"202","1917"
"203","48"
"204","1015"
"205","488"
"206","1361"
"207","53"
"208","908"
"209","231"
"210","826"
"211","1387"
"212","39"
"213","844"
"214","1688"
"215","884"
"216","66"
"217","697"
"218","1226"
"219","649"
"220","1203"
"221","1289"
"222","1228"
"223","806"
"224","1867"
"225","904"
"226","1421"
"227","1454"
"228","971"
"229","351"
"230","430"
"231","684"
"232","751"
"233","1930"
"234","486"
"235","1400"
"236","654"
"237","1368"
"238","563"
"239","355"
"240","90"
"241","1374"
"242","252"
"243","1215"
"244","1890"
"245","1289"
"246","1554"
"247","29"
"248","1687"
"249","1518"
"250","1556"
"251","740"
"252","604"
"253","351"
"254","913"
"255","1419"
"256","1430"
"257","1885"
"258","583"
"259","723"
"260","499"
"261","533"
"262","859"
"263","1620"
"264","1927"
"265","1768"
"266","274"
"267","163"
"268","1793"
"269","1610"
"270","892"
"271","364"
"272","1868"
"273","615"
"274","816"
"275","1170"
"276","1393"
"277","509"
"278","1746"
"279","240"
"280","1018"
"281","986"
"282","66"
"283","795"
"284","1746"
"285","835"
"286","302"
"287","758"
"288","776"
"289","1005"
"290","887"
"291","1809"
"292","1873"
"293","1084"
"294","369"
"295","895"
"296","861"
"297","998"
"298","1875"
"299","387"
"300","1170"
"301","1539"
"302","1631"
"303","679"
"304","805"
"305","1636"
"306","556"
"307","936"
"308","344"
"309","796"
"310","222"
"311","1313"
"312","477"
"313","495"
"314","375"
"315","386"
"316","632"
"317","1606"
"318","823"
"319","812"
"320","386"
"321","844"
"322","943"
"323","1244"
"324","1562"
"325","1065"
"326","1620"
"327","1010"
"328","454"
"329","600"
"330","206"
"331","798"
"332","1319"
"333","1558"
"334","240"
"335","6"
"336","202"
"337","682"
"338","1138"
"339","917"
"340","731"
"341","860"
"342","1961"
"343","515"
"344","597"
"345","307"
"346","1513"
"347","1373"
"348","532"
"349","494"
"350","785"
"351","1489"
