"numero de elemento","elemento"
"9999","19999"
"9998","19999"
"9997","19998"
"9996","19994"
"9995","19988"
"9994","19982"
"9993","19981"
"9992","19978"
"9991","19977"
"9990","19976"
"9989","19975"
"9988","19975"
"9987","19974"
"9986","19970"
"9985","19970"
"9984","19967"
"9983","19966"
"9982","19965"
"9981","19964"
"9980","19962"
"9979","19960"
"9978","19954"
"9977","19948"
"9976","19947"
"9975","19946"
"9974","19943"
"9973","19942"
"9972","19939"
"9971","19939"
"9970","19937"
"9969","19934"
"9968","19932"
"9967","19931"
"9966","19931"
"9965","19930"
"9964","19928"
"9963","19927"
"9962","19926"
"9961","19924"
"9960","19923"
"9959","19914"
"9958","19911"
"9957","19909"
"9956","19904"
"9955","19901"
"9954","19892"
"9953","19892"
"9952","19890"
"9951","19890"
"9950","19890"
"9949","19889"
"9948","19889"
"9947","19885"
"9946","19884"
"9945","19879"
"9944","19872"
"9943","19870"
"9942","19868"
"9941","19866"
"9940","19864"
"9939","19864"
"9938","19862"
"9937","19859"
"9936","19858"
"9935","19857"
"9934","19855"
"9933","19854"
"9932","19854"
"9931","19853"
"9930","19851"
"9929","19850"
"9928","19850"
"9927","19850"
"9926","19849"
"9925","19846"
"9924","19845"
"9923","19841"
"9922","19840"
"9921","19837"
"9920","19837"
"9919","19836"
"9918","19835"
"9917","19835"
"9916","19834"
"9915","19832"
"9914","19832"
"9913","19830"
"9912","19828"
"9911","19828"
"9910","19828"
"9909","19826"
"9908","19823"
"9907","19822"
"9906","19821"
"9905","19821"
"9904","19820"
"9903","19820"
"9902","19816"
"9901","19815"
"9900","19814"
"9899","19810"
"9898","19805"
"9897","19802"
"9896","19801"
"9895","19799"
"9894","19798"
"9893","19798"
"9892","19795"
"9891","19794"
"9890","19793"
"9889","19792"
"9888","19787"
"9887","19787"
"9886","19787"
"9885","19786"
"9884","19779"
"9883","19778"
"9882","19777"
"9881","19777"
"9880","19769"
"9879","19769"
"9878","19766"
"9877","19766"
"9876","19766"
"9875","19766"
"9874","19766"
"9873","19765"
"9872","19764"
"9871","19763"
"9870","19761"
"9869","19760"
"9868","19759"
"9867","19755"
"9866","19751"
"9865","19750"
"9864","19748"
"9863","19745"
"9862","19738"
"9861","19734"
"9860","19733"
"9859","19728"
"9858","19727"
"9857","19724"
"9856","19721"
"9855","19719"
"9854","19716"
"9853","19715"
"9852","19714"
"9851","19712"
"9850","19709"
"9849","19706"
"9848","19704"
"9847","19703"
"9846","19702"
"9845","19698"
"9844","19696"
"9843","19694"
"9842","19693"
"9841","19692"
"9840","19691"
"9839","19690"
"9838","19687"
"9837","19684"
"9836","19681"
"9835","19679"
"9834","19677"
"9833","19676"
"9832","19676"
"9831","19676"
"9830","19673"
"9829","19671"
"9828","19670"
"9827","19666"
"9826","19665"
"9825","19664"
"9824","19663"
"9823","19662"
"9822","19661"
"9821","19661"
"9820","19661"
"9819","19660"
"9818","19654"
"9817","19653"
"9816","19651"
"9815","19648"
"9814","19646"
"9813","19646"
"9812","19644"
"9811","19642"
"9810","19641"
"9809","19640"
"9808","19637"
"9807","19636"
"9806","19636"
"9805","19631"
"9804","19629"
"9803","19628"
"9802","19628"
"9801","19624"
"9800","19616"
"9799","19616"
"9798","19615"
"9797","19614"
"9796","19614"
"9795","19612"
"9794","19607"
"9793","19607"
"9792","19606"
"9791","19604"
"9790","19602"
"9789","19598"
"9788","19591"
"9787","19589"
"9786","19586"
"9785","19586"
"9784","19583"
"9783","19582"
"9782","19577"
"9781","19577"
"9780","19574"
"9779","19571"
"9778","19571"
"9777","19565"
"9776","19564"
"9775","19563"
"9774","19563"
"9773","19562"
"9772","19561"
"9771","19561"
"9770","19558"
"9769","19555"
"9768","19554"
"9767","19553"
"9766","19553"
"9765","19553"
"9764","19550"
"9763","19548"
"9762","19548"
"9761","19548"
"9760","19548"
"9759","19547"
"9758","19547"
"9757","19545"
"9756","19542"
"9755","19537"
"9754","19537"
"9753","19537"
"9752","19537"
"9751","19536"
"9750","19533"
"9749","19532"
"9748","19531"
"9747","19528"
"9746","19528"
"9745","19528"
"9744","19527"
"9743","19526"
"9742","19525"
"9741","19525"
"9740","19525"
"9739","19522"
"9738","19520"
"9737","19518"
"9736","19515"
"9735","19515"
"9734","19508"
"9733","19508"
"9732","19505"
"9731","19504"
"9730","19503"
"9729","19500"
"9728","19500"
"9727","19500"
"9726","19500"
"9725","19498"
"9724","19497"
"9723","19494"
"9722","19493"
"9721","19491"
"9720","19491"
"9719","19490"
"9718","19489"
"9717","19488"
"9716","19486"
"9715","19485"
"9714","19482"
"9713","19480"
"9712","19473"
"9711","19472"
"9710","19471"
"9709","19470"
"9708","19469"
"9707","19466"
"9706","19464"
"9705","19461"
"9704","19461"
"9703","19460"
"9702","19460"
"9701","19459"
"9700","19459"
"9699","19458"
"9698","19458"
"9697","19457"
"9696","19457"
"9695","19446"
"9694","19444"
"9693","19444"
"9692","19444"
"9691","19438"
"9690","19437"
"9689","19435"
"9688","19426"
"9687","19422"
"9686","19421"
"9685","19420"
"9684","19420"
"9683","19419"
"9682","19419"
"9681","19419"
"9680","19418"
"9679","19418"
"9678","19412"
"9677","19408"
"9676","19408"
"9675","19408"
"9674","19407"
"9673","19407"
"9672","19403"
"9671","19398"
"9670","19396"
"9669","19394"
"9668","19393"
"9667","19392"
"9666","19388"
"9665","19387"
"9664","19384"
"9663","19381"
"9662","19379"
"9661","19378"
"9660","19377"
"9659","19374"
"9658","19374"
"9657","19373"
"9656","19371"
"9655","19370"
"9654","19369"
"9653","19369"
"9652","19368"
"9651","19367"
"9650","19367"
"9649","19366"
"9648","19363"
"9647","19363"
"9646","19362"
"9645","19361"
"9644","19356"
"9643","19353"
"9642","19352"
"9641","19351"
"9640","19351"
"9639","19349"
"9638","19347"
"9637","19346"
"9636","19341"
"9635","19341"
"9634","19337"
"9633","19337"
"9632","19336"
"9631","19336"
"9630","19334"
"9629","19333"
"9628","19333"
"9627","19333"
"9626","19328"
"9625","19322"
"9624","19318"
"9623","19318"
"9622","19317"
"9621","19313"
"9620","19305"
"9619","19304"
"9618","19294"
"9617","19294"
"9616","19291"
"9615","19288"
"9614","19283"
"9613","19277"
"9612","19276"
"9611","19275"
"9610","19275"
"9609","19272"
"9608","19266"
"9607","19266"
"9606","19262"
"9605","19262"
"9604","19259"
"9603","19257"
"9602","19255"
"9601","19251"
"9600","19249"
"9599","19249"
"9598","19244"
"9597","19243"
"9596","19240"
"9595","19240"
"9594","19239"
"9593","19235"
"9592","19231"
"9591","19230"
"9590","19229"
"9589","19226"
"9588","19225"
"9587","19221"
"9586","19215"
"9585","19213"
"9584","19211"
"9583","19209"
"9582","19208"
"9581","19208"
"9580","19207"
"9579","19207"
"9578","19203"
"9577","19202"
"9576","19202"
"9575","19202"
"9574","19198"
"9573","19197"
"9572","19196"
"9571","19189"
"9570","19187"
"9569","19183"
"9568","19183"
"9567","19179"
"9566","19174"
"9565","19170"
"9564","19170"
