"numero de elemento","elemento"
"1999","2997"
"1998","2995"
"1997","2993"
"1996","2992"
"1995","2992"
"1994","2991"
"1993","2991"
"1992","2987"
"1991","2986"
"1990","2985"
"1989","2980"
"1988","2979"
"1987","2978"
"1986","2974"
"1985","2972"
"1984","2971"
"1983","2971"
"1982","2970"
"1981","2969"
"1980","2967"
"1979","2967"
"1978","2967"
"1977","2966"
"1976","2964"
"1975","2960"
"1974","2958"
"1973","2957"
"1972","2957"
"1971","2952"
"1970","2951"
"1969","2951"
"1968","2950"
"1967","2948"
"1966","2948"
"1965","2946"
"1964","2943"
"1963","2943"
"1962","2938"
"1961","2938"
"1960","2936"
"1959","2934"
"1958","2933"
"1957","2933"
"1956","2930"
"1955","2930"
"1954","2926"
"1953","2924"
"1952","2923"
"1951","2923"
"1950","2922"
"1949","2921"
"1948","2921"
"1947","2920"
"1946","2919"
"1945","2916"
"1944","2915"
"1943","2915"
"1942","2915"
"1941","2914"
"1940","2914"
"1939","2914"
"1938","2913"
"1937","2908"
"1936","2905"
"1935","2903"
"1934","2899"
"1933","2899"
"1932","2899"
"1931","2898"
"1930","2896"
"1929","2895"
"1928","2895"
"1927","2894"
"1926","2893"
"1925","2892"
"1924","2892"
"1923","2888"
"1922","2888"
"1921","2887"
"1920","2885"
"1919","2884"
"1918","2884"
"1917","2882"
"1916","2881"
"1915","2877"
"1914","2876"
"1913","2873"
"1912","2871"
"1911","2866"
"1910","2859"
"1909","2859"
"1908","2858"
"1907","2855"
"1906","2853"
"1905","2848"
"1904","2847"
"1903","2847"
"1902","2847"
"1901","2846"
"1900","2845"
"1899","2843"
"1898","2841"
"1897","2841"
"1896","2841"
"1895","2837"
"1894","2835"
"1893","2832"
"1892","2831"
"1891","2829"
"1890","2827"
"1889","2826"
"1888","2823"
"1887","2823"
"1886","2821"
"1885","2820"
"1884","2820"
"1883","2820"
"1882","2818"
"1881","2817"
"1880","2816"
"1879","2816"
"1878","2815"
"1877","2814"
"1876","2808"
"1875","2807"
"1874","2806"
"1873","2806"
"1872","2805"
"1871","2802"
"1870","2801"
"1869","2800"
"1868","2800"
"1867","2798"
"1866","2797"
"1865","2796"
"1864","2792"
"1863","2792"
"1862","2791"
"1861","2791"
"1860","2790"
"1859","2789"
"1858","2788"
"1857","2788"
"1856","2788"
"1855","2788"
"1854","2787"
"1853","2787"
"1852","2786"
"1851","2786"
"1850","2784"
"1849","2784"
"1848","2782"
"1847","2781"
"1846","2780"
"1845","2779"
"1844","2778"
"1843","2776"
"1842","2774"
"1841","2772"
"1840","2771"
"1839","2770"
"1838","2768"
"1837","2765"
"1836","2765"
"1835","2763"
"1834","2762"
"1833","2760"
"1832","2758"
"1831","2755"
"1830","2754"
"1829","2754"
"1828","2751"
"1827","2748"
"1826","2746"
"1825","2746"
"1824","2745"
"1823","2744"
"1822","2742"
"1821","2741"
"1820","2740"
"1819","2740"
"1818","2739"
"1817","2736"
"1816","2735"
"1815","2732"
"1814","2729"
"1813","2729"
"1812","2728"
"1811","2720"
"1810","2720"
"1809","2720"
"1808","2719"
"1807","2715"
"1806","2715"
"1805","2714"
"1804","2712"
"1803","2710"
"1802","2710"
"1801","2709"
"1800","2709"
"1799","2707"
"1798","2707"
"1797","2706"
"1796","2705"
"1795","2705"
"1794","2701"
"1793","2700"
"1792","2700"
"1791","2699"
"1790","2699"
"1789","2699"
"1788","2699"
"1787","2699"
"1786","2697"
"1785","2697"
"1784","2691"
"1783","2690"
"1782","2689"
"1781","2685"
"1780","2683"
"1779","2680"
"1778","2680"
"1777","2680"
"1776","2679"
"1775","2679"
"1774","2678"
"1773","2677"
"1772","2677"
"1771","2677"
"1770","2671"
"1769","2668"
"1768","2664"
"1767","2662"
"1766","2662"
"1765","2661"
"1764","2660"
"1763","2658"
"1762","2656"
"1761","2656"
"1760","2655"
"1759","2652"
"1758","2651"
"1757","2648"
"1756","2643"
"1755","2643"
"1754","2642"
"1753","2642"
"1752","2641"
"1751","2639"
"1750","2637"
"1749","2635"
"1748","2631"
"1747","2629"
"1746","2628"
"1745","2626"
"1744","2625"
"1743","2620"
"1742","2617"
"1741","2616"
"1740","2616"
"1739","2615"
"1738","2614"
"1737","2614"
"1736","2613"
"1735","2611"
"1734","2610"
"1733","2609"
"1732","2608"
"1731","2608"
"1730","2606"
"1729","2605"
"1728","2603"
"1727","2601"
"1726","2599"
"1725","2597"
"1724","2596"
"1723","2593"
"1722","2593"
"1721","2591"
"1720","2591"
"1719","2591"
"1718","2590"
"1717","2590"
"1716","2589"
"1715","2585"
"1714","2584"
"1713","2580"
"1712","2580"
"1711","2577"
"1710","2577"
"1709","2576"
"1708","2575"
"1707","2570"
"1706","2568"
"1705","2567"
"1704","2566"
"1703","2566"
"1702","2565"
"1701","2562"
"1700","2561"
"1699","2560"
"1698","2555"
