"numero de elemento","elemento"
"0","659"
"1","218"
"2","889"
"3","589"
"4","992"
"5","919"
"6","807"
"7","483"
"8","882"
"9","211"
"10","305"
"11","357"
"12","553"
"13","166"
"14","671"
"15","711"
"16","98"
"17","87"
"18","710"
"19","311"
"20","685"
"21","723"
"22","417"
"23","442"
"24","856"
"25","521"
"26","864"
"27","239"
"28","468"
"29","469"
"30","137"
"31","692"
"32","741"
"33","983"
"34","362"
"35","571"
"36","895"
"37","799"
"38","288"
"39","240"
"40","972"
"41","872"
"42","113"
"43","906"
"44","371"
"45","118"
"46","326"
"47","131"
"48","522"
"49","573"
"50","325"
"51","334"
"52","884"
"53","583"
"54","707"
"55","860"
"56","701"
"57","322"
"58","311"
"59","979"
"60","858"
"61","452"
"62","409"
"63","796"
"64","141"
"65","899"
"66","849"
"67","751"
"68","654"
"69","14"
"70","52"
"71","869"
"72","798"
"73","33"
"74","488"
"75","410"
"76","117"
"77","817"
"78","777"
"79","309"
"80","587"
"81","781"
"82","565"
"83","229"
"84","764"
"85","196"
"86","161"
"87","266"
"88","988"
"89","105"
"90","103"
"91","652"
"92","297"
"93","648"
"94","199"
"95","188"
"96","456"
"97","772"
"98","506"
"99","366"
