"numero de elemento","elemento"
"999","1995"
"998","1989"
"997","1987"
"996","1984"
"995","1981"
"994","1978"
"993","1976"
"992","1975"
"991","1973"
"990","1973"
"989","1973"
"988","1966"
"987","1965"
"986","1961"
"985","1961"
"984","1961"
"983","1959"
"982","1956"
"981","1955"
"980","1950"
"979","1949"
"978","1947"
"977","1946"
"976","1946"
"975","1944"
"974","1941"
"973","1941"
"972","1940"
"971","1939"
"970","1938"
"969","1937"
"968","1936"
"967","1936"
"966","1930"
"965","1930"
"964","1927"
"963","1926"
"962","1925"
"961","1923"
"960","1922"
"959","1922"
"958","1922"
"957","1917"
"956","1917"
"955","1915"
"954","1911"
"953","1911"
"952","1905"
"951","1904"
"950","1903"
"949","1900"
"948","1898"
"947","1895"
"946","1895"
"945","1895"
"944","1894"
"943","1892"
"942","1890"
"941","1889"
"940","1886"
"939","1885"
"938","1885"
"937","1883"
"936","1881"
"935","1881"
"934","1876"
"933","1875"
"932","1873"
"931","1868"
"930","1867"
"929","1867"
"928","1865"
"927","1864"
"926","1864"
"925","1861"
"924","1858"
"923","1853"
"922","1850"
"921","1850"
"920","1850"
"919","1848"
"918","1847"
"917","1845"
"916","1844"
"915","1844"
"914","1844"
"913","1842"
"912","1833"
"911","1831"
"910","1831"
"909","1824"
"908","1822"
"907","1818"
"906","1816"
"905","1816"
"904","1816"
"903","1815"
"902","1815"
"901","1812"
"900","1809"
"899","1808"
"898","1807"
"897","1807"
"896","1806"
"895","1801"
"894","1800"
"893","1799"
"892","1798"
"891","1795"
"890","1794"
"889","1793"
"888","1791"
"887","1790"
"886","1788"
"885","1784"
"884","1783"
"883","1782"
"882","1780"
"881","1779"
"880","1779"
"879","1778"
"878","1773"
"877","1771"
"876","1770"
"875","1768"
"874","1768"
"873","1767"
"872","1766"
"871","1762"
"870","1760"
"869","1759"
"868","1756"
"867","1755"
"866","1746"
"865","1746"
"864","1745"
"863","1744"
"862","1741"
"861","1734"
"860","1731"
"859","1729"
"858","1723"
"857","1722"
"856","1721"
"855","1720"
"854","1719"
"853","1719"
"852","1716"
"851","1716"
"850","1714"
"849","1713"
"848","1710"
"847","1710"
"846","1708"
"845","1702"
"844","1700"
"843","1697"
"842","1694"
"841","1691"
"840","1691"
"839","1688"
"838","1687"
"837","1687"
"836","1684"
"835","1682"
"834","1678"
"833","1675"
"832","1670"
"831","1664"
"830","1657"
"829","1656"
"828","1654"
"827","1651"
"826","1645"
"825","1644"
"824","1643"
"823","1637"
"822","1637"
"821","1636"
"820","1636"
"819","1635"
"818","1631"
"817","1630"
"816","1628"
